序号,一级分类,二级分类,素材名,图片数,介绍
84,艺术类,漆器,朱漆山水人物沉金带足盆,1,"　　朱漆山水人物沉金带足盆是琉球漆器中沉金技法的代表作，以朱漆为地，以沉金技法装饰山水人物纹样，器形为带足的盆器，是琉球漆艺中沉金技法的精品。「沉金」是琉球漆器的重要装饰技法之一，受中国「戗金」技法影响，以刻刀在漆面上雕刻出纹样，再将金箔或金粉填入刻痕，形成金色的线条纹样，线条流畅，金光闪闪，与朱漆地子形成华丽的对比。
　　朱漆山水人物沉金带足盆以木为胎，髹以朱漆为地，朱红色泽鲜艳温暖，是琉球漆器中最具代表性的底色之一。盆面以沉金技法装饰山水人物纹样，画面描绘了中国风格的山水庭院与人物活动，远山近水、亭台楼阁、文人雅士，意境悠远，是受中国山水画影响的装饰题材。沉金的金色线条在朱漆地子上流畅游走，将山水的层次与人物的姿态表现得淋漓尽致，工艺极为精湛。「带足」指盆的底部有足，使盆体离开地面，既实用又美观，是琉球高级漆器的常见造型。
　　这件盆器是琉球宫廷或贵族用于盛放食物、果品或茶具的器具，也是重要的陈设品。朱漆山水人物沉金带足盆是研究琉球漆艺、沉金技法、山水人物纹样与宫廷食器的重要实物资料，体现了琉球漆艺在吸收中国戗金技法基础上的本土化发展，具有极高的历史与艺术价值。"
85,艺术类,陶器,高坏,1,"　　高坏是琉球传统的陶制礼器，是一种带有高足的陶制器皿，用于宫廷仪式、祭祀活动或宴会中盛放食物，是琉球陶器中最具礼仪性的器物之一。「高坏」的名称源于其形制，「高」指高足，「坏」指器皿，即带有高足的器皿，这一器物类型深受中国古代「豆」（高足礼器）的影响，是中琉文化交流在器物层面的体现。
　　琉球的陶器工艺历史悠久，受中国福建陶瓷与日本本土陶瓷的双重影响，发展出了独特的琉球陶器风格，壶屋烧是琉球最著名的陶器产地。高坏以黏土为原料，经成型、干燥、烧制而成，部分高级高坏还施以釉料或彩绘装饰，造型端庄，高足修长，器身饱满，具有浓厚的礼仪色彩。在琉球王国的宫廷仪式与祭祀活动中，高坏用于盛放祭品、食物或果品，是仪式中不可或缺的礼器，其使用有严格的等级规定，不同等级的仪式使用不同材质与装饰的高坏。
　　高坏是研究琉球陶器工艺、宫廷礼仪、祭祀文化与中琉文化交流的重要实物资料，其高足的形制与礼仪功能直接渊源于中国古代的青铜豆与陶豆，是中琉文化交流的生动物证，体现了琉球在吸收中国礼器文化基础上的本土化发展，具有重要的历史与艺术价值。"
86,艺术类,陶器,壶,1,"　　壶是琉球传统的陶制实用器与礼器，是琉球陶器中最常见、最具代表性的器物类型之一，用于储存水、酒、谷物等物品，也用于祭祀仪式中盛放祭品。琉球的陶器工艺历史悠久，受中国福建陶瓷与日本本土陶瓷的双重影响，发展出了独特的琉球陶器风格，壶屋烧是琉球最著名的陶器产地，以生产日用陶器与祭祀陶器闻名。
　　琉球陶壶的造型丰富多样，有大壶、小壶、扁壶、圆壶等多种形制，壶身多为圆形或椭圆形，口部有盖或无盖，肩部有系（用于穿绳提携），造型朴实实用，体现了琉球陶器注重实用的特征。陶壶以黏土为原料，经成型、干燥、烧制而成，部分高级陶壶还施以釉料或彩绘装饰，釉色以青釉、黑釉、褐釉为主，装饰纹样有花卉纹、几何纹、波浪纹等，既有实用性又有审美价值。在琉球的日常生活中，陶壶是家家户户必备的器具，用于储存饮用水、米酒、谷物等，是琉球庶民生活文化的重要物质载体。
　　在祭祀仪式中，陶壶也用于盛放祭品或作为祭祀礼器使用。壶是研究琉球陶器工艺、日常生活、庶民文化与祭祀传统的重要实物资料，体现了琉球陶器朴实实用的工艺特征与琉球人的生活智慧，具有重要的历史与艺术价值。"
87,艺术类,戏剧舞蹈道具,琉球人舞踏图卷,1,"　　《琉球人舞踏图卷》是日本江户时代描绘琉球人舞蹈表演场景的长卷绘画作品，是研究琉球传统舞蹈、音乐与服饰文化的珍贵图像资料。「舞踏」即舞蹈，《琉球人舞踏图卷》以长卷的形式，连续描绘了琉球传统舞蹈表演的全过程，包括舞者的舞姿、服饰、道具、伴奏乐师的乐器与演奏姿态、观众的反应等，画面生动，细节丰富。
　　琉球传统舞蹈（诸踊）是琉球王国宫廷艺术的重要组成部分，深受中国宫廷舞蹈与日本能乐、狂言的影响，同时融入了琉球本土的舞蹈元素，形成了独特的琉球舞蹈风格，在国王即位、册封使迎接、新年朝贺等重要宫廷仪式中表演。图卷中舞者的服饰采用琉球传统的红型染礼服与裙カカン，发饰有椿花发簪、のし发饰等，手持舞扇或其他道具，舞姿优雅，动作舒缓，体现了琉球宫廷舞蹈庄重典雅的艺术特征。伴奏乐师使用三线、胡弓、太鼓、笛等琉球传统乐器，为舞蹈伴奏。
　　《琉球人舞踏图卷》不仅是艺术价值很高的绘画作品，更是研究琉球传统舞蹈、音乐、服饰、宫廷礼仪与日琉文化交流的第一手图像资料，弥补了文字文献描述不够直观的不足，对于理解琉球宫廷艺术的表演形式与文化内涵具有不可替代的历史与艺术价值。"
88,艺术类,音乐器物,半笙,1,"　　半笙是琉球传统的吹奏乐器，是中国笙传入琉球后发展出的本土变体，是琉球宫廷音乐中重要的吹奏乐器之一。笙是中国古代发明的吹奏乐器，由多根竹管插入斗（气室）中组成，通过吹口吹气或吸气使管内的簧片振动发声，是中国古代宫廷雅乐中最重要的吹奏乐器之一。
　　笙大约在14至15世纪随中琉文化交流传入琉球，成为琉球宫廷音乐的重要乐器，在国王即位、册封使迎接、新年朝贺等重要宫廷仪式的音乐演奏中使用。「半笙」是琉球对传入的笙进行本土化改造后的名称，可能因其管数较中国本土的笙为少（半，即部分之意）而得名，也可能是琉球方言中的特有称呼。半笙的形制与中国笙基本一致，由斗（气室，多以匏或木制成）、竹管、簧片、吹口等部分组成，通过按放指孔控制音高，音色清澈悠扬，在宫廷乐队中担任和声或旋律的演奏。
　　半笙是研究琉球宫廷音乐、乐器史与中琉文化交流的重要实物资料，其形制与演奏方法直接渊源于中国古代的笙，是中国音乐文化传入琉球并本土化发展的生动物证，对于理解琉球宫廷音乐的乐器构成与音乐体系具有重要的历史与学术价值，体现了琉球在吸收中国音乐文化基础上的本土化创新。"
89,艺术类,音乐器物,缔太鼓,1,"　　缔太鼓是琉球传统的打击乐器，是日本太鼓传入琉球后发展出的本土变体，是琉球宫廷音乐与民俗音乐中重要的打击乐器之一。「太鼓」是日本对大鼓的称呼，「缔」指绷紧、固定，缔太鼓即通过绳索绷紧鼓皮的小型太鼓，音色清脆响亮，节奏鲜明。
　　太鼓大约在15至16世纪随日琉文化交流传入琉球，同时也受到中国鼓类乐器的影响，在琉球本土化发展后形成了独特的琉球缔太鼓。缔太鼓的形制与日本本土的缔太鼓基本一致，以木为鼓框，两面蒙以兽皮（多为牛皮），以绳索穿过鼓框两侧的孔将鼓皮绷紧固定，通过调节绳索的松紧来调整音高，演奏时以两根鼓槌敲击鼓面发声。缔太鼓在琉球宫廷音乐中用于控制节奏与增强气势，在国王即位、册封使迎接、新年朝贺等重要宫廷仪式的音乐演奏中使用，也是琉球传统舞蹈（诸踊）的重要伴奏乐器。
　　在民俗音乐与节庆活动中，缔太鼓也广泛使用，是琉球民间艺能中不可或缺的打击乐器。缔太鼓是研究琉球宫廷音乐、民俗音乐、乐器史与日琉文化交流的重要实物资料，体现了琉球在吸收日本与中国打击乐器文化基础上的本土化发展，对于理解琉球音乐的节奏体系与乐器构成具有重要的历史与学术价值。"
90,艺术类,音乐器物,工工四谱,2,"　　工工四谱是琉球传统音乐的记谱法，是一种以汉字记写音高与节奏的独特乐谱体系，是研究琉球传统音乐不可或缺的文献资料。「工工四」的名称源于其记谱法中最常用的三个音符符号「工」、「工」、「四」，这三个符号分别代表不同的音高，是工工四谱中最基本的音符。
　　工工四谱深受中国工尺谱的影响，工尺谱是中国传统音乐的记谱法，以「上、尺、工、凡、六、五、乙」等汉字记写音高，工工四谱正是在工尺谱的基础上，结合琉球传统音乐的音阶与旋律特点，本土化发展出的独特记谱体系。工工四谱以竖排书写，从右至左阅读，音符符号记写音高，符号的大小、位置与附加记号记写节奏与演奏技法，是一种兼具音高与节奏信息的完整记谱法。工工四谱主要用于记录琉球古典音乐（包括三线音乐、宫廷音乐、舞蹈音乐等）的旋律，是琉球传统音乐传承的重要载体，大量的琉球古典音乐作品正是通过工工四谱得以保存与传承。
　　工工四谱手写本是研究琉球传统音乐、记谱法、音乐史与中琉音乐文化交流的珍贵文献资料，体现了琉球在吸收中国工尺谱基础上的本土化创新，是琉球音乐文化独特性的重要标志，具有极高的历史与学术价值。"
91,艺术类,音乐器物,胡弓,1,"　　胡弓是琉球传统的拉弦乐器，是日本胡弓传入琉球后发展出的本土变体，也是琉球传统音乐中唯一的拉弦乐器，在琉球古典音乐与民俗音乐中占有重要地位。「胡弓」的名称源于其形制与演奏方式，「胡」指来自北方或西方的外族（与中国「胡琴」的「胡」同义），「弓」指以弓拉弦，胡弓即以弓拉弦的乐器。
　　胡弓大约在16至17世纪随日琉文化交流传入琉球，同时也受到中国胡琴（如二胡、板胡）的影响，在琉球本土化发展后形成了独特的琉球胡弓。琉球胡弓的形制与日本本土的胡弓有所区别，琴身较小，琴杆较短，通常有三根弦（与三线的弦数一致），琴筒蒙以蛇皮或猫皮，演奏时以坐姿持琴，琴筒置于膝上，以马尾弓拉弦发声，音色悠扬哀婉，富有表现力。胡弓在琉球古典音乐中用于演奏旋律或为三线伴奏，在国王即位、册封使迎接等宫廷仪式的音乐演奏中使用，也是琉球传统舞蹈的重要伴奏乐器。
　　在民俗音乐中，胡弓也广泛使用，是琉球民间艺能中常见的乐器。胡弓是研究琉球传统音乐、乐器史与日琉中音乐文化交流的重要实物资料，体现了琉球在吸收日本与中国拉弦乐器文化基础上的本土化发展，对于理解琉球音乐的音色构成与演奏传统具有重要的历史与学术价值。"
92,艺术类,音乐器物,琉球乐器图,1,"　　《琉球乐器图》是专门描绘琉球传统乐器的绘画作品，系统地记录了琉球宫廷音乐与民俗音乐中使用的各种乐器，是研究琉球乐器史与音乐文化的珍贵图像资料。《琉球乐器图》以写实的手法，逐一描绘了琉球传统音乐中使用的各种乐器，包括吹奏乐器（如半笙、笛、尺八等）、拉弦乐器（如胡弓）、弹拨乐器（如三线、琉球筝等）、打击乐器（如缔太鼓、太鼓、钲、木鱼等），并配有详细的文字说明，标注了各种乐器的名称、形制、材质、尺寸、演奏方法与使用场合。
　　琉球传统乐器的构成深受中国与日本乐器文化的双重影响，同时融入了琉球本土的创新，形成了独特的琉球乐器体系，《琉球乐器图》系统地记录了这一乐器体系，是研究琉球乐器不可或缺的图像资料。与单纯的乐器实物相比，乐器图展示了乐器的完整形态、结构部件与演奏姿态，对于理解乐器的演奏方法与使用场景具有重要价值，也为乐器的复原与复制提供了详细的依据。《琉球乐器图》的创作与日琉文化交流密切相关，江户时代的日本民众对琉球的音乐文化充满好奇，琉球乐器图正是满足这种文化好奇心的艺术产品，同时也为后世留下了珍贵的音乐图像记录。
　　《琉球乐器图》是研究琉球乐器史、音乐文化、宫廷音乐与日琉中音乐文化交流的珍贵图像资料，具有极高的历史与学术价值。"
93,艺术类,音乐器物,蛇皮线三线,1,"　　蛇皮线三线是琉球最具代表性的传统乐器，因琴筒两面蒙以蛇皮而得名，又称「蛇皮线」或「蛇味线」，是琉球古典音乐与民俗音乐的核心乐器，被誉为「琉球音乐的灵魂」。三线大约在14世纪末从中国传入琉球，其前身是中国的三弦，传入琉球后经本土化发展，形成了独特的琉球三线，并于16世纪中叶传入日本本土，发展为日本的三味线。
　　三线由琴头、琴颈（棹）、琴筒（胴）三部分构成，琴筒为小圆形或椭圆形，两面蒙以蛇皮（传统上用眼镜蛇或王锦蛇的皮，老蛇的皮因鳞片圆大、音色浑厚而被视为上品），琴颈细长，无品（音位），张三根弦，以牛角或象牙制成的拨子（爪）戴在食指上拨弦发声。三线的音色清澈明亮，富有穿透力，既能演奏悠扬的古典旋律，也能演奏欢快的民间曲调，是琉球古典音乐（包括宫廷音乐、舞蹈音乐、民谣等）不可或缺的伴奏乐器与独奏乐器。在琉球王国时期，三线是宫廷乐器，由王室设立的专门机构管理生产，高级三线是贵族身份的象征。
　　2018年，三线被日本政府指定为传统工艺品。蛇皮线三线是研究琉球音乐史、乐器史、传统工艺与中琉日音乐文化交流的最重要实物资料，是琉球文化最具标志性的象征之一，具有极高的历史、艺术与文化价值。"
94,饮食类,,苦瓜杂炒,2,"　　苦瓜杂炒（ゴーヤーチャンプルー）是冲绳最具代表性的传统料理，也是琉球料理的代名词，以苦瓜为主料，搭配豆腐、鸡蛋、猪肉（或午餐肉）炒制而成，是琉球饮食文化中「杂炒」（チャンプルー）精神的集中体现。「チャンプルー」在琉球方言中意为「混杂」、「翻炒」，指将多种食材混合在一起炒制的烹饪方式，是琉球料理最基本的烹饪方法之一，体现了琉球作为海洋贸易国家兼收并蓄、融合创新的文化特质。
　　苦瓜（ゴーヤー）是琉球料理中最重要的蔬菜之一，原产于东南亚，经贸易传入琉球后成为琉球饮食的核心食材，其特有的苦味与丰富的维生素C含量，使其成为冲绳长寿饮食的代表食材。苦瓜杂炒的做法是将苦瓜切片去瓤，用盐腌制去除部分苦味，然后与豆腐、鸡蛋、猪肉（或Spam午餐肉，反映了战后美国文化的影响）一起炒制，以酱油、料酒、鲣鱼高汤调味，口感丰富，苦中带鲜，营养均衡。
　　苦瓜杂炒不仅是冲绳最受欢迎的家庭料理，也是琉球饮食文化的象征，其「混杂」的烹饪方式正是琉球文化融合精神的生动体现，反映了琉球在吸收中国、日本、东南亚与美国饮食文化基础上的本土化创新，是研究琉球饮食文化与文化融合的重要案例，具有重要的文化与社会价值。"
95,饮食类,,豚角煮,5,"　　豚角煮是冲绳最具代表性的传统猪肉料理，也是琉球料理中最著名的菜品之一，以带皮五花肉为原料，经长时间炖煮而成，口感软糯，肥而不腻，是琉球猪肉饮食文化的代表作品。琉球料理与日本本土料理最大的区别在于对猪肉的大量使用，日本本土因佛教影响长期有食肉禁忌，而琉球受中国饮食文化影响，猪肉文化发达，是琉球料理的核心食材，冲绳也是日本人均猪肉消费量最高的地区。
　　「豚角煮」的名称中，「豚」指猪肉，「角煮」指将肉切成方块（角）后炖煮，这一烹饪方法深受中国红烧肉的影响，是中琉饮食文化交流的生动体现。豚角煮的做法是将带皮五花肉切成方块，先焯水去除血沫与多余脂肪，然后以酱油、味醂、料酒、红糖、生姜、八角（五香粉）等调味，加入昆布或鲣鱼高汤，经小火慢炖数小时，至肉质软糯、皮胶融化、入味深厚即可。豚角煮口感软糯入口即化，肥而不腻，咸甜适中，香气浓郁，是冲绳宴会、节庆与日常生活中最受欢迎的菜品之一，也是冲绳长寿饮食的重要组成部分（研究认为适量食用炖煮的猪肉对健康有益）。
　　豚角煮是研究琉球饮食文化、猪肉传统与中琉饮食文化交流的重要案例，体现了琉球在吸收中国烹饪方法基础上的本土化发展，是琉球饮食文化最具代表性的作品之一，具有重要的文化与社会价值。"
96,饮食类,,羊汁,3,"　　羊汁是冲绳传统的羊肉汤料理，是琉球料理中最具特色的汤品之一，以山羊肉为主要原料，搭配甘蔗、生姜、香料等长时间炖煮而成，是琉球羊肉饮食文化的代表作品。琉球群岛饲养山羊的历史悠久，山羊适应琉球的亚热带气候与山地环境，是琉球重要的家畜之一，山羊肉是琉球传统的肉食来源，尤其在冬季与节庆活动中，羊肉汤是滋补身体的重要食品。
　　「羊汁」的名称中，「羊」指山羊肉，「汁」指汤汁，即羊肉汤，这一称呼与日本本土的「汁物」（汤品）命名方式一致。羊汁的做法是将山羊肉切块，先焯水去除膻味，然后加入甘蔗（琉球特产，为汤品增添自然的甜味）、生姜、大蒜、胡椒、八角、桂皮等香料，以小火慢炖数小时，至羊肉软烂、汤汁浓郁即可。羊汁的特点是羊肉软烂不膻，汤汁清甜浓郁，带有甘蔗的自然甜味与香料的复合香气，营养丰富，滋补暖身，是冲绳冬季最受欢迎的汤品之一，也是琉球传统的滋补食品。
　　羊汁中使用甘蔗调味是琉球料理的独特做法，反映了琉球作为甘蔗产地的地域特色，也体现了琉球饮食因地制宜、利用本土食材的智慧。羊汁是研究琉球饮食文化、家畜饲养、地域食材利用与滋补传统的重要案例，体现了琉球饮食文化的地域特色与文化独特性，是琉球料理中不可多得的特色汤品，具有重要的文化与社会价值。"
97,宗教与民俗实物类,民俗辟邪物,琉球狮子,3,"　　琉球狮子（シーサー，Shisa）是琉球最具代表性的民俗辟邪物与守护神，是一种以狮子为原型的虚构神兽，广泛设置于琉球的屋顶、门户、路口、桥梁等处，用于驱邪镇宅、守护平安，是琉球民俗文化最具标志性的象征之一。琉球狮子的信仰起源于古代印度与中国，狮子随佛教从印度传入中国，再由中国于15世纪（明代）经闽人三十六姓传入琉球，与琉球本土的神灵信仰相结合，发展出了独特的琉球狮子信仰。
　　琉球狮子的造型与中国石狮、日本狛犬既有联系又有区别，通常成对出现，一雌一雄，雄狮张口（象征吐纳邪气、驱邪纳福），雌狮闭口（象征守护幸福、留住好运），造型夸张生动，表情威严而不失憨态。琉球狮子的材质丰富多样，有灰泥瓦制（最常见，用于屋顶）、陶制（用于门户）、石制（用于路口与桥梁）、木雕、铜铸等，不同材质与造型对应不同的使用场合与功能。琉球狮子不仅是辟邪物，也是琉球建筑装饰艺术的重要组成部分，其造型与装饰体现了琉球工匠的艺术创造力。
　　琉球狮子信仰在冲绳战后得到了极大的复兴与发展，如今已成为冲绳最具代表性的文化符号与旅游形象，出现在各种旅游纪念品、文创产品与公共艺术中。琉球狮子是研究琉球民俗信仰、辟邪文化、建筑装饰与中琉文化交流的最重要实物资料，是琉球文化最具辨识度的象征之一，具有极高的历史、文化与艺术价值。"
98,宗教与民俗实物类,民俗辟邪物,石敢当,3,"　　石敢当是琉球最具代表性的民俗辟邪物之一，是一种刻有「石敢当」或「泰山石敢当」字样的石碑，通常设置于丁字路口、巷口、桥端或房屋的冲煞位置，用于镇邪避凶、守护道路与住宅平安，是琉球民俗信仰中与琉球狮子并列的两大辟邪物之一。石敢当信仰起源于中国古代，「石敢当」最初是古代民间对石头的神化信仰，认为石头有灵，可以镇邪避凶，后与泰山信仰（泰山为五岳之首，象征权威与镇邪）相结合，形成「泰山石敢当」的信仰，是中国古代阴阳学与风水学说的重要组成部分。
　　这种信仰大约在14至15世纪随中国文化（特别是闽人三十六姓）传入琉球，与琉球本土的神灵信仰与风水观念相结合，在琉球广泛传播，成为琉球最普遍的民俗辟邪物之一。琉球的石敢当形制多样，有自然石（不经雕琢的天然石块，上刻文字）、长方形人造石（规整的石碑，上刻「石敢当」或「泰山石敢当」字样）、陶制石敢当（以陶土烧制而成）等多种类型，部分高级石敢当还雕刻有狮子头像或其他装饰纹样。琉球的石敢当设置位置与中国基本一致，多在丁字路口的冲煞处，用于阻挡「路冲」（风水术语，指道路直冲带来的煞气），守护道路与住宅平安。
　　石敢当是研究琉球民俗信仰、风水文化、辟邪传统与中琉文化交流的重要实物资料，其形制、设置方式与文化内涵直接渊源于中国，是中国民间信仰在琉球本土化传播与发展的生动物证，具有重要的历史与文化价值。"
99,宗教与民俗实物类,民俗实物,厨子瓮,1,"　　厨子瓮是琉球传统的陶制收纳器具，因形似「厨子」（橱柜）而得名，是琉球壶屋烧陶器中最具特色的器物类型之一，用于收纳食物、衣物、书籍或作为祭祀器具使用，是琉球庶民生活文化的重要物质载体。「厨子瓮」的名称源于其形制，「厨子」指橱柜、收纳柜，「瓮」指陶制容器，厨子瓮即形似橱柜的陶制收纳器，这一器物类型是琉球独有的陶器形制，深受中国陶瓷与日本本土陶器的影响，但在造型与功能上具有鲜明的琉球特色。
　　厨子瓮以琉球壶屋地区的黏土为原料，经成型、干燥、烧制而成，器形多为长方形或方形，带有盖子或抽屉，部分高级厨子瓮还施以釉料或彩绘装饰，釉色以青釉、黑釉、褐釉为主，装饰纹样有花卉纹、几何纹、波浪纹等，造型朴实实用，体现了琉球陶器注重实用的工艺特征。在琉球的日常生活中，厨子瓮是家家户户必备的收纳器具，用于储存食物、衣物、书籍、贵重物品等，其陶制的材质具有良好的防潮防虫功能，非常适合琉球潮湿的亚热带气候。在祭祀仪式中，厨子瓮也用于盛放祭品或作为祭祀礼器使用。
　　厨子瓮是研究琉球陶器工艺、壶屋烧、庶民生活、收纳文化与祭祀传统的重要实物资料，体现了琉球陶器朴实实用的工艺特征与琉球人的生活智慧，是琉球庶民文化的重要物质见证，具有重要的历史与艺术价值。"
100,宗教与民俗实物类,民俗实物,龟甲墓,3,"　　龟甲墓是琉球最具代表性的传统墓葬形式，因墓室平面形状酷似龟甲而得名，是琉球丧葬文化与祖先崇拜的重要物质载体，广泛分布于琉球群岛各地，是琉球民俗文化最具标志性的景观之一。龟甲墓的起源可追溯至17世纪，由中国华南地区（特别是福建）传入琉球，最初为士族阶层所使用，至19世纪后期逐渐普及至农村平民阶层，成为琉球最普遍的墓葬形式。
　　龟甲墓的平面形状为前端圆、后端尖的椭圆形，酷似龟甲的轮廓，因此得名，墓室以琉球石灰岩砌筑，内部空间宽敞，可容纳多个家族成员的遗骨，是一种家族合葬墓。龟甲墓的设计体现了琉球人的生死观与祖先崇拜，墓室被视为死者在另一个世界的「家」，龟甲的形状象征长寿与永恒（龟在东亚文化中是长寿的象征），墓室朝向通常面向大海或开阔地，体现了风水观念。龟甲墓的建造工艺精湛，石匠以琉球石灰岩砌筑墓室，石块之间严丝合缝，墓门雕刻精美，部分高级龟甲墓还装饰有狮子、石敢当等辟邪物。
　　龟甲墓不仅是丧葬设施，也是琉球家族认同与祖先崇拜的重要场所，每年的清明（シーミー）与盂兰盆节，家族成员会聚集在龟甲墓前，举行祭祀仪式，供奉食物与酒水，缅怀祖先，祈求家族平安。龟甲墓是研究琉球丧葬文化、祖先崇拜、家族制度、石造建筑与中琉文化交流的最重要实物资料，是琉球民俗文化最具标志性的景观之一，具有极高的历史、文化与建筑艺术价值。"
